Image	News__item URL	News__item-label	News__item-button-visible
https://stephexhorsetrucks.com/wp-content/uploads/2025/09/STX-Ford-2H-Second-Hand-26-720x460.jpg	https://stephexhorsetrucks.com/vehicles/stx-2-horse-ford-transit/	Second-Hand	STX 2 HORSE FORD TRANSIT
https://stephexhorsetrucks.com/wp-content/uploads/2025/09/3dda51a7-3a6e-446a-8326-b7113253c1c4-1-720x460.jpg	https://stephexhorsetrucks.com/vehicles/stx-horsebox-volvo-fh-540-8-horses-4/	Second-Hand	STX HORSEBOX Volvo FH 540 8 Horses
https://stephexhorsetrucks.com/wp-content/uploads/2025/08/PHOTO-2025-07-28-21-45-04-11-1400x820-1-720x460.jpg	https://stephexhorsetrucks.com/vehicles/stx-horsebox-mercedes-actros-giga-l-2551-5-horses/	Second-Hand	STX HORSEBOX Mercedes Actros Giga L 2551 5 Horses
https://stephexhorsetrucks.com/wp-content/uploads/2025/04/IMG_3863-720x460.jpg	https://stephexhorsetrucks.com/vehicles/akx-horsebox-mercedes-actros-s-2540-6-horses-6/	Second-Hand	AKX HORSEBOX Mercedes Actros S 2540 6 Horses
https://stephexhorsetrucks.com/wp-content/uploads/2025/03/DSC1070-720x460.jpg	https://stephexhorsetrucks.com/vehicles/stx-2-horses-ford-uae-saudi-arabia/	New              Second-Hand	STX 2 HORSES Ford (UAE & Saudi Arabia)
https://stephexhorsetrucks.com/wp-content/uploads/2024/06/IMG_7293-Copy-720x460.jpg	https://stephexhorsetrucks.com/vehicles/reydams-horsebox-mercedes-actros-2535-7-horses/	Second-Hand	REYDAMS Horsebox  Mercedes Actros 2535 7 Horses
https://stephexhorsetrucks.com/wp-content/uploads/2024/05/IMG_5353-720x460.jpg	https://stephexhorsetrucks.com/vehicles/iveco-stralis-350-6-horses/	Second-Hand	IVECO STRALIS 350 6 Horses
https://stephexhorsetrucks.com/wp-content/uploads/2022/11/IMG_4920-720x460.jpg	https://stephexhorsetrucks.com/vehicles/stx-horsebox-scania-p-410-7-horses-2/	Second-Hand	STX HORSEBOX Scania P 410 7 Horses
https://stephexhorsetrucks.com/wp-content/uploads/2021/10/DSC00774-1400x820-1-720x460.png	https://stephexhorsetrucks.com/vehicles/akx-horsebox-renault-d-range-4-horses/	Second-Hand	AKX HORSEBOX Renault D-Range 4 Horses
https://stephexhorsetrucks.com/wp-content/uploads/2020/09/SX_09791-720x460.jpg	https://stephexhorsetrucks.com/vehicles/ketterer-actros-6-horses/	Second-Hand	KETTERER Exclusive – 6 horses

